Name	Gene Name	Source of interest	Priority 	Notes:
TYRO protein tyrosine kinase binding protein	Tyrobp	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
syntaxin 11	Stx11	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
BCR activator of RhoGEF and GTPase	Bcr	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
spleen associated tyrosine kinase	Syk	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
vesicle associated membrane protein 7	Vamp7	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
deoxyribonuclease 1 	Dnase1	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
deoxyribonuclease 1 like 3	Dnase1l3	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
Fc epsilon receptor Ig	Fcer1g	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
PML-RARA regulated adaptor molecule 1	Pram1	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
integrin subunit beta 2	Itgb2	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
CD11b, integrin subunit alpha M	Itgam	Xie 2022	3	above
CD177	Cd177	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
annexin A3 	Anxa3	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
myosin IF	Myo1f	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
				
matrix metallopeptidase 9	MMP9	Wigerblad 2022	3	above
CD11b	ITGAM	Wigerblad 2022	3	above
ficolin 1	FCN1	Wigerblad 2022	3	Nh0 Maturity marker. Mosty interested if differences blood vs milk subsets
cathelicidin antimicrobial peptide	CAMP	Wigerblad 2022	3	above
cytochrome b-245 beta chain	CYBB	Wigerblad 2022	3	above
cystatin C	CST3	Wigerblad 2022	3	Nh0 Maturity marker. Mosty interested if differences blood vs milk subsets
vimentin	VIM	Wigerblad 2022	3	Nh0 Maturity marker. Mosty interested if differences blood vs milk subsets
thioredoxin	TXN	Wigerblad 2022	3	Nh0 Maturity marker. Mosty interested if differences blood vs milk subsets
allograft inflammatory factor 1	AIF1	Wigerblad 2022	3	Nh1 Maturity marker. Mosty interested if differences blood vs milk subsets
thioredoxin interacting protein	TXNIP	Wigerblad 2022	3	Nh1 Maturity marker. Mosty interested if differences blood vs milk subsets
CXCR2	CXCR2	Wigerblad 2022	3	Already above
metastasis associated lung adenocarcinoma transcript 1 	MALAT1	Wigerblad 2022	3	Nh2 Maturity marker. Mosty interested if differences blood vs milk subsets
uclear paraspeckle assembly transcript 1	NEAT1	Wigerblad 2022	3	Nh2 Maturity marker. Mosty interested if differences blood vs milk subsets
colony stimulating factor 3 receptor	CSF3R	Wigerblad 2022	3	Nh2 Maturity marker. Mosty interested if differences blood vs milk subsets
HECT and RLD domain containing E3 ubiquitin protein ligase 5	HERC5	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
interferon gamma inducible protein 16	IFI16	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
interferon induced protein with tetratricopeptide repeats 1	IFIT1	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
interferon induced protein with tetratricopeptide repeats 2	IFIT2	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
interferon induced transmembrane protein 2	IFITM2	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
interferon induced transmembrane protein 3	IFITM3	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
ISG15 ubiquitin like modifier	ISG15	Wigerblad 2022	3	Nh3 Maturity marker. Mosty interested if differences blood vs milk subsets
